sample_id,table_number,dist_key,scenario,dist_phase,gt_mean,gt_mu,gt_sigma,total_files,description,shuffle,segments,early_stop_unlock_table_id,dist_name,request_number,seed,max_events
0,0,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
1,1,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
2,2,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
3,3,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
4,4,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
5,5,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
6,6,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
7,7,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
8,8,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
9,9,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
10,10,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
11,11,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
12,12,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
13,13,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
14,14,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
15,15,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
16,16,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
17,17,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
18,18,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
19,19,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
20,20,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
21,21,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
22,22,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
23,23,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
24,24,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
25,25,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
26,26,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
27,27,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
28,28,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
29,29,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
30,30,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
31,31,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
32,32,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
33,33,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
34,34,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
35,35,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
36,36,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
37,37,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
38,38,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
39,39,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
40,40,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
41,41,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
42,42,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
43,43,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
44,44,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
45,45,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
46,46,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
47,47,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
48,48,S5_1,S5,A,9.0,2.0722245773362196,0.5,1000,S5_1 适应：15% 9 → 85% 90,0,"[('A', 0.15), ('B', 0.85)]",0,S5_1,30,123,60
