run_label,stage_family,severity,n,avg_reward,pos_rate,action1_rate,mean_p_action1,wait_share,engage_share
run_20260219_202213_305730_R30_O_10_90_PPO_S42,removal,2.0,2,0.0,0.0,0.0,,1.0,0.0
run_20260219_202213_305730_R30_O_10_90_PPO_S42,removal,3.0,24,0.6666666666666666,0.6666666666666666,0.041666666666666664,,0.9583333333333334,0.041666666666666664
run_20260219_202213_305730_R30_O_10_90_PPO_S42,removal,4.0,38,0.7631578947368421,0.7631578947368421,0.0,,1.0,0.0
run_20260219_202213_305730_R30_O_10_90_PPO_S42,removal,5.0,60,0.4,0.4,0.0,,1.0,0.0
run_20260219_202213_305730_R30_O_10_90_PPO_S42,removal,6.0,75,0.41333333333333333,0.41333333333333333,0.0,,1.0,0.0
run_20260223_053657_571360_R30_O_10_90_PPO_NEW_S42,insertion,3.0,1,1.0,1.0,0.0,,0.0,1.0
run_20260223_053657_571360_R30_O_10_90_PPO_NEW_S42,removal,2.0,2,0.0,0.0,0.0,,1.0,0.0
run_20260223_053657_571360_R30_O_10_90_PPO_NEW_S42,removal,3.0,24,0.5833333333333334,0.5833333333333334,0.041666666666666664,,0.9583333333333334,0.041666666666666664
run_20260223_053657_571360_R30_O_10_90_PPO_NEW_S42,removal,4.0,40,0.725,0.725,0.0,,1.0,0.0
run_20260223_053657_571360_R30_O_10_90_PPO_NEW_S42,removal,5.0,56,0.42857142857142855,0.42857142857142855,0.017857142857142856,,0.9821428571428571,0.017857142857142856
run_20260223_053657_571360_R30_O_10_90_PPO_NEW_S42,removal,6.0,76,0.42105263157894735,0.42105263157894735,0.0,,1.0,0.0
run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,insertion,5.0,3,1.0,1.0,1.0,0.00103941041743375,1.0,0.0
run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,insertion,6.0,1,1.0,1.0,1.0,0.0010358917061239,1.0,0.0
run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,removal,2.0,2,0.0,0.0,0.0,0.0010369866504333501,1.0,0.0
run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,removal,3.0,20,0.55,0.55,0.0,0.0010415488841795841,1.0,0.0
run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,removal,4.0,37,0.7567567567567568,0.7567567567567568,0.0,0.0010420501962102216,1.0,0.0
run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,removal,5.0,59,0.4745762711864407,0.4745762711864407,0.06779661016949153,0.06842937442706894,0.9322033898305084,0.06779661016949153
run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,removal,6.0,76,0.4605263157894737,0.4605263157894737,0.06578947368421052,0.06718042566851515,0.9342105263157895,0.06578947368421052
run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,unknown,,2,,0.0,0.0,0.0010426923399790501,0.0,0.0
