ts,phase,stage,uncertainty_index,request,vehicle,table_number,table_id,dynamic_t_begin,duration_type,gt_mean,phase_label,oracle_ctx_mode,delay_tolerance,severity,passed_terminals,current_time,action,reward,action_meaning,feasible,source,p_action1,algo,regime_id,context_id,drift_score,belief_smooth_penalty,value_residual,delta_t,policy_kl,action_prob,entropy,bootstrap,trust_region_scaled,trust_region_scale,gate_prob_0_mean,gate_prob_1_mean,gate_entropy_mean,expert0_action1_prob_mean,expert1_action1_prob_mean,expert_selected_ratio,moe_div_mean,pdi_future_mean,pdi_pref_mean,pdi_hard_mean,pdi_fail0_mean,pdi_fail1_mean,stage_family,matched,run_label,run_dir,distribution,seed,algorithm,algo_version,reward_pos,action1,action0,semantic_action,wait_like,engage_like,ts_decision,ts_reward,run_id,decision_seq,decision_id,stage_mode,pair_index,impl_stream,impl_list_idx,h_index,severity_bucket
,implement,unmatched,0,3000000000012,90,949,,1,mix_mu_5_40_terminal_dependent,90,B,,,,,,0,,,,RL,0.0010403160704299,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,PLR_UED,a:\MYpython\34959_RL\codes\nexus\local_adaptive_o10_90_s42_rerun2\run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,O_10_90,42,PPO_NEW,v3,0,0,1,unknown,0,0,1772699664.0924797,1772699664.1532464,run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,200.0,run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42|implement|200,eval_only,0.0,,,-1.0,unknown
,implement,receive_reward,1,3000000000022,114,984,,2,mix_mu_5_40_terminal_dependent,90,B,,,5.0,,99,0,0.0,,,RL,0.0010350287193432,,B,B|gt_mean=90,,,,,,,,,,,,,,,,,,,,,,,removal,1,PLR_UED,a:\MYpython\34959_RL\codes\nexus\local_adaptive_o10_90_s42_rerun2\run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,1772698389.6238017,1772698462.0335803,run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,72.0,run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42|implement|72,eval_only,0.0,removal,69.0,68.0,mid(4-5)
,implement,receive_reward,1,3000000000005,113,984,,2,mix_mu_5_40_terminal_dependent,90,B,,,5.0,,99,1,1.0,,,RL,0.9903124570846558,,B,B|gt_mean=90,,,,,,,,,,,,,,,,,,,,,,,removal,1,PLR_UED,a:\MYpython\34959_RL\codes\nexus\local_adaptive_o10_90_s42_rerun2\run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,O_10_90,42,PPO_NEW,v3,1,1,0,remove,0,1,1772698389.1272516,1772698461.4435525,run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,71.0,run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42|implement|71,eval_only,0.0,removal,68.0,67.0,mid(4-5)
,implement,receive_reward,1,3000000000006,109,984,,2,mix_mu_5_40_terminal_dependent,90,B,,,5.0,,99,0,0.0,,,RL,0.00103438005317,,B,B|gt_mean=90,,,,,,,,,,,,,,,,,,,,,,,removal,1,PLR_UED,a:\MYpython\34959_RL\codes\nexus\local_adaptive_o10_90_s42_rerun2\run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,1772698389.0324688,1772698460.901656,run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,70.0,run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42|implement|70,eval_only,0.0,removal,67.0,66.0,mid(4-5)
,implement,receive_reward,1,3000000000019,114,986,,2,mix_mu_5_40_terminal_dependent,90,B,,,5.0,,120,1,1.0,,,RL,,,B,B|gt_mean=90,,,,,,,,,,,,,,,,,,,,,,,insertion,0,PLR_UED,a:\MYpython\34959_RL\codes\nexus\local_adaptive_o10_90_s42_rerun2\run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,O_10_90,42,PPO_NEW,v3,1,1,0,non_insert,1,0,1772698387.772007,1772698387.772007,run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,69.0,run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42|implement|69,eval_only,,insertion,1.0,-1.0,mid(4-5)
,implement,receive_reward,0,3000000000016,38,986,,2,mix_mu_5_40_terminal_dependent,90,B,,,5.0,,2,0,0.0,,,RL,,,B,B|gt_mean=90,,,,,,,,,,,,,,,,,,,,,,,removal,0,PLR_UED,a:\MYpython\34959_RL\codes\nexus\local_adaptive_o10_90_s42_rerun2\run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,1772698387.7690077,1772698387.7690077,run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,68.0,run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42|implement|68,eval_only,,removal,66.0,-1.0,mid(4-5)
,implement,receive_reward,1,3000000000022,114,986,,2,mix_mu_5_40_terminal_dependent,90,B,,,5.0,,120,0,0.0,,,RL,0.0010409143287688,,B,B|gt_mean=90,,,,,,,,,,,,,,,,,,,,,,,removal,1,PLR_UED,a:\MYpython\34959_RL\codes\nexus\local_adaptive_o10_90_s42_rerun2\run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,1772698387.2950518,1772698387.7660062,run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,67.0,run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42|implement|67,eval_only,0.0,removal,65.0,65.0,mid(4-5)
,implement,receive_reward,1,3000000000019,114,986,,2,mix_mu_5_40_terminal_dependent,90,B,,,5.0,,120,1,1.0,,,RL,0.0034414823167026,,B,B|gt_mean=90,,,,,,,,,,,,,,,,,,,,,,,removal,1,PLR_UED,a:\MYpython\34959_RL\codes\nexus\local_adaptive_o10_90_s42_rerun2\run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,O_10_90,42,PPO_NEW,v3,1,1,0,remove,0,1,1772698359.7953093,1772698387.6641843,run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,66.0,run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42|implement|66,eval_only,0.0,removal,64.0,64.0,mid(4-5)
,implement,receive_reward,1,3000000000029,111,986,,2,mix_mu_5_40_terminal_dependent,90,B,,,5.0,,120,0,0.0,,,RL,0.9983342289924622,,B,B|gt_mean=90,,,,,,,,,,,,,,,,,,,,,,,removal,1,PLR_UED,a:\MYpython\34959_RL\codes\nexus\local_adaptive_o10_90_s42_rerun2\run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,1772698359.3917472,1772698387.3773448,run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,65.0,run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42|implement|65,eval_only,0.0,removal,63.0,63.0,mid(4-5)
,implement,receive_reward,0,3000000000012,90,987,,120,mix_mu_5_40_terminal_dependent,90,B,,,6.0,,4,0,0.0,,,RL,0.0010464749066159,,B,B|gt_mean=90,,,,,,,,,,,,,,,,,,,,,,,removal,1,PLR_UED,a:\MYpython\34959_RL\codes\nexus\local_adaptive_o10_90_s42_rerun2\run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,1772698356.5247772,1772698358.9444785,run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42,64.0,run_20260305_092522_719454_R30_O_10_90_PLR_UED_S42|implement|64,eval_only,0.0,removal,62.0,62.0,high(6+)
