run_label,semantic_action,n,avg_reward,pos_rate,action1_rate,mean_p_action1,wait_share,engage_share
PLR_UED,non_insert,4,1.0,1.0,1.0,0.0010382375136638,1.0,0.0
PLR_UED,remove,9,0.8888888888888888,0.8888888888888888,1.0,0.8618551260377798,0.0,1.0
PLR_UED,unknown,2,,0.0,0.0,0.0010426923399790501,0.0,0.0
PLR_UED,wait,185,0.5081081081081081,0.5081081081081081,0.0,0.006859007976480933,1.0,0.0
PPO,remove,1,1.0,1.0,1.0,,0.0,1.0
PPO,wait,198,0.5,0.5,0.0,,1.0,0.0
PPO_NEW_v3,insert,1,1.0,1.0,0.0,,0.0,1.0
PPO_NEW_v3,remove,2,1.0,1.0,1.0,,0.0,1.0
PPO_NEW_v3,wait,197,0.49746192893401014,0.49746192893401014,0.0,,1.0,0.0
PPO_NEW_v3_1,insert,1,1.0,1.0,0.0,,0.0,1.0
PPO_NEW_v3_1,remove,2,1.0,1.0,1.0,,0.0,1.0
PPO_NEW_v3_1,wait,196,0.49489795918367346,0.49489795918367346,0.0,,1.0,0.0
