run_label,stage_family,severity_bucket,n,avg_reward,pos_rate,action1_rate,mean_p_action1,wait_share,engage_share
PLR_UED,insertion,high(6+),1,1.0,1.0,1.0,0.0010358917061239,1.0,0.0
PLR_UED,insertion,mid(4-5),3,1.0,1.0,1.0,0.00103941041743375,1.0,0.0
PLR_UED,removal,high(6+),76,0.4605263157894737,0.4605263157894737,0.06578947368421052,0.06718042566851515,0.9342105263157895,0.06578947368421052
PLR_UED,removal,low(2-3),22,0.5,0.5,0.0,0.001041114385727562,1.0,0.0
PLR_UED,removal,mid(4-5),96,0.5833333333333334,0.5833333333333334,0.041666666666666664,0.04161936371156601,0.9583333333333334,0.041666666666666664
PLR_UED,unknown,unknown,2,,0.0,0.0,0.0010426923399790501,0.0,0.0
PPO,removal,high(6+),75,0.41333333333333333,0.41333333333333333,0.0,,1.0,0.0
PPO,removal,low(2-3),26,0.6153846153846154,0.6153846153846154,0.038461538461538464,,0.9615384615384616,0.038461538461538464
PPO,removal,mid(4-5),98,0.5408163265306123,0.5408163265306123,0.0,,1.0,0.0
PPO_NEW_v3,insertion,low(2-3),1,1.0,1.0,0.0,,0.0,1.0
PPO_NEW_v3,removal,high(6+),78,0.44871794871794873,0.44871794871794873,0.0,,1.0,0.0
PPO_NEW_v3,removal,low(2-3),26,0.5769230769230769,0.5769230769230769,0.038461538461538464,,0.9615384615384616,0.038461538461538464
PPO_NEW_v3,removal,mid(4-5),95,0.5263157894736842,0.5263157894736842,0.010526315789473684,,0.9894736842105263,0.010526315789473684
PPO_NEW_v3_1,insertion,low(2-3),1,1.0,1.0,0.0,,0.0,1.0
PPO_NEW_v3_1,removal,high(6+),76,0.42105263157894735,0.42105263157894735,0.0,,1.0,0.0
PPO_NEW_v3_1,removal,low(2-3),26,0.5384615384615384,0.5384615384615384,0.038461538461538464,,0.9615384615384616,0.038461538461538464
PPO_NEW_v3_1,removal,mid(4-5),96,0.5520833333333334,0.5520833333333334,0.010416666666666666,,0.9895833333333334,0.010416666666666666
