ts,phase,stage,uncertainty_index,request,vehicle,table_number,dynamic_t_begin,duration_type,delay_tolerance,severity,passed_terminals,current_time,action,reward,feasible,source
1765858265.258219,train,begin_removal,0,3000000000002,6,0,4,mix_mu_5_40_terminal_dependent,63.0,,"[3, -1, -1, -1, -1, -1, -1, -1, -1, -1]",4,-10000000,-10000000,,ALNS
1765858265.2670739,train,begin_removal,0,3000000000003,8,0,4,mix_mu_5_40_terminal_dependent,92.0,,"[3, -1, -1, -1, -1, -1, -1, -1, -1, -1]",4,-10000000,-10000000,,ALNS
1765858265.3585117,train,send_action,0,3000000000002,6,0,4,mix_mu_5_40_terminal_dependent,63.0,6,"[3, -1, -1, -1, -1, -1, -1, -1, -1, -1]",4,0,-10000000,,RL
1765858265.3986816,train,finish_removal,0,3000000000002,6,0,4,mix_mu_5_40_terminal_dependent,63.0,6,"[3, -1, -1, -1, -1, -1, -1, -1, -1, -1]",4,0,0,,ALNS
1765858265.4017997,train,receive_reward,0,3000000000002,6,0,4,mix_mu_5_40_terminal_dependent,63.0,6,"[3, -1, -1, -1, -1, -1, -1, -1, -1, -1]",4,0,0,,RL
1765858265.454798,train,send_action,0,3000000000003,8,0,4,mix_mu_5_40_terminal_dependent,92.0,6,"[3, -1, -1, -1, -1, -1, -1, -1, -1, -1]",4,1,-10000000,,RL
1765858265.5000057,train,finish_removal,0,3000000000003,8,0,4,mix_mu_5_40_terminal_dependent,92.0,6,"[3, -1, -1, -1, -1, -1, -1, -1, -1, -1]",4,1,1,,ALNS
1765858265.5020845,train,receive_reward,0,3000000000003,8,0,4,mix_mu_5_40_terminal_dependent,92.0,6,"[3, -1, -1, -1, -1, -1, -1, -1, -1, -1]",4,1,1,,RL
1765858271.7861266,train,begin_removal,0,3000000000002,6,1,1,mix_mu_5_40_terminal_dependent,60.0,6,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,-10000000,-10000000,,ALNS
1765858271.788726,train,begin_removal,0,3000000000003,8,1,1,mix_mu_5_40_terminal_dependent,89.0,6,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,-10000000,-10000000,,ALNS
1765858271.7923586,train,begin_removal,0,3000000000000,27,1,1,mix_mu_5_40_terminal_dependent,96.0,6,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,-10000000,-10000000,,ALNS
1765858271.8445632,train,send_action,0,3000000000002,6,1,1,mix_mu_5_40_terminal_dependent,60.0,6,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,1,-10000000,,RL
1765858271.8847773,train,finish_removal,0,3000000000002,6,1,1,mix_mu_5_40_terminal_dependent,60.0,6,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,1,1,,ALNS
1765858271.8867795,train,receive_reward,0,3000000000002,6,1,1,mix_mu_5_40_terminal_dependent,60.0,6,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,1,1,,RL
1765858271.991322,train,send_action,0,3000000000003,8,1,1,mix_mu_5_40_terminal_dependent,89.0,6,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,0,-10000000,,RL
